Number,"Weight, g","Volume, cc",
91,9.5239,4.270807175,
92,9.1041,4.082556054,
93,9.4765,4.24955157,
94,9.6205,4.314125561,
95,9.3813,4.2069,
97,9.4983,4.2593,
98,9.3954,4.2132,
99,9.3270,4.1825,
100,9.6332,4.3198,
151,9.7264,4.3616,
152,9.7155,4.3567,
153,9.6697,4.3362,
154,9.7118,4.3551,
155,9.7377,4.3667,
156,9.6449,4.3251,
157,9.6017,4.3057,
158,9.5899,4.3004,
159,9.7160,4.3570,
160,9.4581,4.2413,
161,9.7497,4.3721,
162,9.8842,4.4324,
163,9.5631,4.2884,
164,9.9097,4.4438,
165,9.8137,4.4008,
166,9.5335,4.2751,
167,9.8196,4.4034,
168,9.8671,4.4247,
169,9.4825,4.2522,
170,9.5950,4.3027,
171,9.4852,4.2535,
172,9.5744,4.2935,
173,9.5055,4.2626,
174,9.8544,4.4190,
175,9.6489,4.3269,
176,9.7192,4.3584,
177,9.4539,4.2394,
178,9.6099,4.3094,
179,9.5829,4.2973,
180,9.5632,4.2884,
181,9.5058,4.2627,
182,9.7033,4.3513,
183,9.6636,4.3335,
184,9.8976,4.4384,
185,9.8465,4.4155,
186,9.8185,4.4029,
187,9.7688,4.3806,
188,9.8792,4.4301,
189,9.7583,4.3759,
190,9.7571,4.3754,
210,9.7520,4.3731,
211,9.7985,4.3939,
212,9.7664,4.3796,
213,9.3755,4.2043,
214,9.9960,4.4825,
215,10.0840,4.5220,
216,10.0795,4.5200,
217,9.6671,4.3350,
218,10.0969,4.5278,
219,9.6617,4.3326,
230,9.8050,4.3969,
231,9.8868,4.4335,
232,9.8775,4.4294,
233,9.9605,4.4666,
234,10.0063,4.4871,
235,9.9943,4.4817,
236,9.8712,4.4265,
237,9.8347,4.4102,
238,9.9240,4.4502,
239,10.0279,4.4968,
240,9.8590,4.4211,
241,9.8089,4.3986,
242,9.9348,4.4551,
243,9.8368,4.4111,
245,9.8492,4.4167,
246,9.7553,4.3746,
247,9.8389,4.4121,
248,9.6745,4.3383,
249,9.9565,4.4648,
250,9.8892,4.4346,
251,9.8140,4.4009,
252,9.8140,4.4009,
253,9.8927,4.4362,
254,9.8201,4.4036,
255,9.9283,4.4522,
256,9.8771,4.4292,
257,9.7717,4.3819,
258,9.8593,4.4212,
259,9.9797,4.4752,
200,9.6303,4.3185,
201,9.7538,4.3739,
202,9.9245,4.4504,
203,10.0562,4.5095,
204,9.9425,4.4585,
205,9.6086,4.3088,
207,9.7720,4.3821,
208,10.0436,4.5039,
209,9.6794,4.3405,
270,9.7308,4.3636,
271,9.9113,4.4445,
272,10.0933,4.5261,
274,9.9089,4.4435,
273,9.6430,4.3242,
275,9.7669,4.3798,
276,9.9183,4.4477,
277,9.8652,4.4239,
278,10.1570,4.5547,
279,9.9806,4.4756,
280,10.0747,4.5178,
281,9.8647,4.4236,
282,10.1076,4.5326,
283,9.6502,4.3274,
284,10.0555,4.5092,
285,10.0510,4.5072,
286,9.5493,4.2822,
287,10.1690,4.5601,
288,10.1602,4.5561,
289,9.6906,4.3456,
290,9.9171,4.4471,
291,10.0957,4.5272,
292,9.6498,4.3273,
293,9.7003,4.3499,
294,10.1689,4.5600,
295,10.1670,4.5592,
296,9.8502,4.4171,
297,9.5856,4.2985,
298,9.6490,4.3269,
299,9.6849,4.3430,
191,9.5350,4.2758,
1,9.8663,4.4243,
2,9.4933,4.2571,
3,9.7539,4.3739,
4,9.4749,4.2488,
6,9.8908,4.4353,
7,9.8834,4.4320,
8,9.5216,4.2698,
9,9.5977,4.3039,
10,9.9909,4.4802,
,,,
