Exp,Site,Hole,Core,Type,Section,"Sample Top, cm","Sample Bottom, cm",Combined id,Sample Label,"Sample Top Depth, mbsf","Sample Bot Depth, mbsf",Beaker Number,"Beaker Weight,         g","WET Weight (Sample + Beaker), g ",OVEN             Date/Time                    IN,"DRY Weight (Sample + Beaker), g",Scientist,Pycnometer Cell,"DRY Volume, cc",,"WEIGHT   WET Sample, g","WEIGHT     DRY Sample,  g","WEIGHT Pore Water, g","WEIGHT Salt,                g","WEIGHT Grains,               g ","VOLUME Pore Water, cc","VOLUME Salt,                           cc","VOLUME   Dry Sample, cc","VOLUME   Wet Sample, cc","VOLUME        Grains,          cc","Water Content,   (wet) v/v","Water Content (dry), v/v","Bulk Density, g/cc","Dry Density, g/cc","Grain Density, g/cc","Porosity,   v/v","Void Ratio, v/v",Lithology,
501,M0111,C,1,H,1,38,40,M0111-C-1-1,"501-M0111-C-1-1,38-40",45.94,45.96,277,9.8652,19.2447,23/01/2026 19:42,17.9158,MS,1,7.4896,,9.38,8.51,0.90,0.03,8.48,0.88,0.01,3.07,3.93,3.05,0.10,0.11,2.38,2.15,2.78,0.22,0.29,sand,
501,M0111,C,2,H,1,38,40,M0111-C-2-1,"501-M0111-C-2-1,38-40",48.05,48.07,278,10.157,20.0211,23/01/2026 20:08,16.9872,TS,1,7.1081,,9.86,6.83,3.14,0.11,6.72,3.07,0.05,2.55,5.57,2.50,0.32,0.47,1.77,1.21,2.68,0.55,1.23,clay,
501,M0111,C,3,H,2,2,4,M0111-C-3-2,"501-M0111-C-3-2,2-4",49.79,49.81,279,9.9806,19.7421,23/01/2026 20:08,16.7874,TS,2,7.0131,,9.76,6.81,3.06,0.11,6.70,2.99,0.05,2.54,5.48,2.49,0.31,0.46,1.78,1.22,2.69,0.55,1.20,clay,
501,M0111,C,6,H,1,17,19,M0111-C-6-1,"501-M0111-C-6-1,17-19",111.53,111.55,161,9.7497,20.4795,23/01/2026 20:08,18.3721,TS,3,7.5574,,10.73,8.62,2.18,0.08,8.55,2.13,0.03,3.19,5.28,3.15,0.20,0.26,2.03,1.62,2.71,0.40,0.68,clay,
501,M0111,C,7,R,1,38,40,M0111-C-7-1,"501-M0111-C-7-1,38-40",120.74,120.76,168,9.8671,19.9446,23/01/2026 22:15,17.1862,TS,2,7.1178,,10.08,7.32,2.86,0.10,7.22,2.79,0.05,2.69,5.44,2.65,0.28,0.40,1.85,1.33,2.73,0.51,1.05,clay,
501,M0111,C,8,R,2,40,42,M0111-C-8-2,"501-M0111-C-8-2,40-42",126.41,126.43,169,9.4825,19.1778,23/01/2026 22:15,17.1659,TS,3,7.0971,,9.70,7.68,2.08,0.07,7.61,2.04,0.03,2.84,4.85,2.81,0.22,0.27,2.00,1.57,2.71,0.42,0.72,clay,
501,M0111,C,5,H,1,41,43,M0111-C-5-1,"501-M0111-C-5-1,41-43",110.41,110.43,170,9.595,20.9839,23/01/2026 22:15,18.612,TS,5,7.5971,,11.39,9.02,2.46,0.09,8.93,2.40,0.04,3.29,5.66,3.26,0.22,0.28,2.01,1.58,2.74,0.42,0.74,clay,
501,M0111,C,9,R,1,38,40,M0111-C-9-1,"501-M0111-C-9-1,38-40",126.74,126.76,181,9.5058,20.6961,24/01/2026 10:48,18.2391,TS,3,7.4826,,11.19,8.73,2.55,0.09,8.64,2.49,0.04,3.22,5.67,3.18,0.23,0.29,1.97,1.53,2.72,0.44,0.78,clay,
501,M0111,C,10,R,1,38,40,M0111-C-10-1,"501-M0111-C-10-1,38-40",150.38,150.4,182,9.7033,19.3204,24/01/2026 10:49,16.2983,TS,5,6.8409,,9.62,6.60,3.13,0.11,6.49,3.06,0.05,2.49,5.50,2.44,0.33,0.48,1.75,1.18,2.66,0.56,1.25,clay,
501,M0111,C,11,R,1,49,51,M0111-C-11-1,"501-M0111-C-11-1,49-51",153.49,153.51,183,9.6636,19.5759,24/01/2026 10:51,16.3548,TS,1,6.9204,,9.91,6.69,3.34,0.12,6.57,3.26,0.05,2.59,5.79,2.53,0.34,0.51,1.71,1.13,2.59,0.56,1.29,sand,
501,M0111,C,12,R,1,38,40,M0111-C-12-1,"501-M0111-C-12-1,38-40",156.38,156.4,184,9.8976,17.8937,24/01/2026 11:45,15.8869,TS,5,6.6776,,8.00,5.99,2.08,0.07,5.92,2.03,0.03,2.24,4.24,2.21,0.26,0.35,1.89,1.40,2.68,0.48,0.92,sand,
501,M0111,C,13,R,1,38,40,M0111-C-13-1,"501-M0111-C-13-1,38-40",159.38,159.4,185,9.8465,19.5679,24/01/2026 11:45,17.3764,TS,1,7.2502,,9.72,7.53,2.27,0.08,7.45,2.22,0.04,2.83,5.02,2.80,0.23,0.30,1.94,1.49,2.66,0.44,0.79,sand,
501,M0111,C,14,R,1,38,40,M0111-C-14-1,"501-M0111-C-14-1,38-40",161.54,161.56,186,9.8185,17.6805,24/01/2026 11:45,16.0946,TS,2,6.7417,,7.86,6.28,1.64,0.06,6.22,1.60,0.03,2.34,3.92,2.31,0.21,0.26,2.01,1.59,2.69,0.41,0.69,sand,
501,M0111,C,15,R,1,38,40,M0111-C-15-1,"501-M0111-C-15-1,38-40",162.74,162.76,187,9.7688,18.1132,24/01/2026 12:29,16.3167,TS,1,6.831,,8.34,6.55,1.86,0.07,6.48,1.82,0.03,2.45,4.24,2.42,0.22,0.29,1.97,1.53,2.68,0.43,0.75,sand,
501,M0111,C,17,R,1,8,10,M0111-C-17-1,"501-M0111-C-17-1,8-10",166.44,166.46,188,9.8792,17.1109,24/01/2026 12:29,15.3039,TS,2,6.419,,7.23,5.42,1.87,0.07,5.36,1.83,0.03,1.99,3.79,1.96,0.26,0.35,1.91,1.41,2.74,0.48,0.93,sand,
501,M0111,C,18,R,1,38,40,M0111-C-18-1,"501-M0111-C-18-1,38-40",168.74,168.76,189,9.7583,18.1557,24/01/2026 12:29,16.1611,TS,3,6.7886,,8.40,6.40,2.07,0.07,6.33,2.02,0.03,2.41,4.40,2.38,0.25,0.33,1.91,1.44,2.66,0.46,0.85,sand,
501,M0111,C,20,R,1,65.5,67.5,M0111-C-20-1,"501-M0111-C-20-1,65.5-67.5",172.015,172.035,190,9.7571,20.4007,24/01/2026 15:18,17.7613,TS,2,7.3669,,10.64,8.00,2.74,0.10,7.91,2.67,0.04,2.99,5.62,2.95,0.26,0.35,1.89,1.41,2.68,0.48,0.91,clay,
501,M0111,C,21,R,1,34,36,M0111-C-21-1,"501-M0111-C-21-1,34-36",177.7,177.72,280,10.0747,20.1543,24/01/2026 15:18,17.4599,TS,3,7.3956,,10.08,7.39,2.79,0.10,7.29,2.73,0.04,2.88,5.56,2.83,0.28,0.38,1.81,1.31,2.57,0.49,0.96,clay,
501,M0111,C,21,R,2,146,148,M0111-C-21-2,"501-M0111-C-21-2,146-148",180.34,180.36,281,9.8647,18.4381,24/01/2026 15:18,15.8843,TS,5,6.7804,,8.57,6.02,2.65,0.09,5.93,2.58,0.04,2.36,4.90,2.32,0.31,0.45,1.75,1.21,2.56,0.53,1.12,clay,
