Exp,Site,Hole,Core,Type,Section,"Sample Top, cm","Sample Bottom, cm",Combined id,Sample Label,"Sample Top Depth, mbsf","Sample Bot Depth, mbsf",Beaker Number,"Beaker Weight,         g","WET Weight (Sample + Beaker), g ",OVEN             Date/Time                    IN,"DRY Weight (Sample + Beaker), g",Scientist,Pycnometer Cell,"DRY Volume, cc",,"WEIGHT   WET Sample, g","WEIGHT     DRY Sample,  g","WEIGHT Pore Water, g","WEIGHT Salt,                g","WEIGHT Grains,               g ","VOLUME Pore Water, cc","VOLUME Salt,                           cc","VOLUME   Dry Sample, cc","VOLUME   Wet Sample, cc","VOLUME        Grains,          cc","Water Content,   (wet) v/v","Water Content (dry), v/v","Bulk Density, g/cc","Dry Density, g/cc","Grain Density, g/cc","Porosity,   v/v","Void Ratio, v/v",Lithology,
501,M0112,B,2,H,1,38,40,M0112-B-2-1,"501-M0112B-2H-1,38-40",28.6,28.62,230,9.805,18.9761,30/01/2026 21:45,17.3141,TS,5,7.2118,,9.17,7.51,1.72,0.06,7.45,1.68,0.03,2.81,4.47,2.79,0.19,0.23,2.05,1.67,2.67,0.38,0.6,sand,3 runs
501,M0112,B,3,H,1,68,70,M0112-B-3-1,"501-M0112B-3H-1,68-70",31.07,31.09,231,9.8868,20.0022,30/01/2026 21:45,18.4698,TS,3,7.709,,10.12,8.58,1.59,0.06,8.53,1.55,0.03,3.28,4.8,3.25,0.16,0.19,2.11,1.78,2.62,0.32,0.48,sand,3 runs
501,M0112,B,5,H,1,38,40,M0112-B-5-1,"501-M0112B-5H-1,38-40",54.38,54.4,232,9.8775,21.4373,30/01/2026 21:45,19.7025,TS,5,8.0928,,11.56,9.83,1.8,0.06,9.76,1.76,0.03,3.66,5.39,3.64,0.16,0.18,2.14,1.81,2.69,0.33,0.48,sand,3 runs
501,M0112,B,6,H,1,38,40,M0112-B-6-1,"501-M0112B-6H-1,38-40",55.9,55.92,233,9.9605,18.1446,30/01/2026 21:45,16.718,TS,1,7.0529,,8.18,6.76,1.48,0.05,6.71,1.44,0.02,2.59,4.01,2.56,0.18,0.22,2.04,1.67,2.62,0.36,0.56,sand,3 runs
501,M0112,B,7,R,1,39.5,41.5,M0112-B-7-1,"501-M0112B-7R-1,39.5-41.5",57.215,57.235,234,10.0063,21.9702,31/01/2026 09:10,19.5789,TS,5,8.0014,,11.96,9.57,2.48,0.09,9.49,2.42,0.04,3.51,5.9,3.48,0.21,0.26,2.03,1.61,2.73,0.41,0.7,clay,3 runs
501,M0112,B,8,R,1,28,30,M0112-B-8-1,"501-M0112B-8R-1,28-30",58.6,58.62,235,9.9943,22.2731,31/01/2026 09:10,20.1433,TS,1,8.286,,12.28,10.15,2.21,0.08,10.07,2.16,0.03,3.8,5.92,3.77,0.18,0.22,2.07,1.7,2.67,0.36,0.57,clay,3 runs
501,M0112,B,9,R,1,34,36,M0112-B-9-1,"501-M0112B-9R-1,34-36",60.16,60.18,236,9.8712,20.9235,31/01/2026 09:10,18.5158,TS,2,7.6277,,11.05,8.64,2.5,0.09,8.56,2.44,0.04,3.2,5.6,3.16,0.23,0.29,1.97,1.53,2.71,0.44,0.77,clay,3 runs
501,M0112,B,10,R,1,39,41,M0112-B-10-1,"501-M0112B-10R-1,39-41",61.71,61.73,237,9.8347,23.0324,31/01/2026 13:55,19.0514,TS,1,7.8554,,13.2,9.22,4.13,0.14,9.07,4.03,0.07,3.45,7.41,3.38,0.31,0.45,1.78,1.22,2.68,0.54,1.19,clay,3 runs
501,M0112,B,12,R,1,36,38,M0112-B-12-1,"501-M0112B-12R-1,36-38",82.36,82.38,238,9.924,20.532,31/01/2026 13:55,17.0359,TS,2,7.0567,,10.61,7.11,3.62,0.13,6.99,3.54,0.06,2.61,6.09,2.55,0.34,0.52,1.74,1.15,2.74,0.58,1.39,clay,3 runs
501,M0112,B,13,R,1,38,40,M0112-B-13-1,"501-M0112B-13R-1,38-40",83.88,83.9,239,10.0279,21.6257,31/01/2026 13:55,18.1127,TS,3,7.4793,,11.6,8.08,3.64,0.13,7.96,3.56,0.06,2.98,6.48,2.93,0.31,0.46,1.79,1.23,2.72,0.55,1.22,clay,3 runs
501,M0112,B,14,R,1,66,68,M0112-B-14-1,"501-M0112B-14R-1,66-68",87.16,87.18,171,9.4852,20.0489,31/01/2026 13:55,16.9553,TS,2,7.0012,,10.56,7.47,3.21,0.11,7.36,3.13,0.05,2.75,5.83,2.7,0.3,0.44,1.81,1.26,2.73,0.54,1.16,clay,3 runs
501,M0112,B,15,R,1,42,44,M0112-B-15-1,"501-M0112B-15R-1,42-44",89.92,89.94,172,9.5744,19.12,31/01/2026 13:55,16.0782,TS,3,6.7348,,9.55,6.5,3.15,0.11,6.39,3.08,0.05,2.44,5.47,2.39,0.33,0.49,1.75,1.17,2.67,0.56,1.29,clay,3 runs
501,M0112,B,16,R,1,53.5,55.5,M0112-B-16-1,"501-M0112B-16R-1,53.5-55.5",93.035,93.055,173,9.5055,18.8014,31/01/2026 13:55,15.8921,TS,5,6.6056,,9.3,6.39,3.01,0.11,6.28,2.94,0.05,2.34,5.24,2.3,0.32,0.48,1.77,1.2,2.74,0.56,1.28,clay,3 runs
