Expedition,Site,Hole,Core,Core type,Section,Sample Top Depth in Section [cm],Sample Bottom in Section [cm],Combined ID,Sampling type,Top Depth of Sample [m b.s.f.],Salinity [‰],NH4 [mM],pH [-],Alkalinity [mM],H2S  [mmol],Cl [mM],SO4 [mM],Br [mM],Al [µM],B [µM],Ba [µM],Ca [mM],Fe [µM],K [mM],Li [µM],Mg [mM],Mn [µM],Mo [µM],Na [mM],Ni [µM],P [µM],S [mM],Si [µM],Sr [µM],Comments,Combined ID,Sample Size,Top Depth of Sample [m b.s.f.],Lithology,Disturbance,Core image Evaluation (onshore) Reviewer 1 Thomas,Core image Evaluation (onshore) Reviewer 2 Rebecca,Core image Evaluation (onshore) Reviewer 3 Takeshi,Core image offshore Thomas,contamination Thomas and Rebecca,Medium confidence Rebecca,contamination Takeshi,Contamination all               (all 3 vote for contamination),Medium confidence     (min 1 and max 2 vote for contamination),Contamination,comment
501,M0111,A,1,H,1,130,130,501_M0111_A_001H_1_WR:130-130_1,IWRH1,1.3,32.43,,7.48,3.55,0.001,513.938,26.583,0.775,0.519,367.160,0.066,9.321,0.913,8.673,19.597,47.141,0.692,0.073,391.866,3.084,6.748,24.881,108.722,75.599,,501_M0111_A_001H_1_WR:130-130_1,22,1.3,"medium, loose sand",slight,"shells, disturbed sands above",,"loose sand, disturbed",,,,Y,,Y,Y,"According to Log-sheet, IWSQ1(145-150) and IWRH1(130-130) have same ID (IW-GWQ1)"
501,M0111,A,2,H,1,133,133,501_M0111_A_002H_1_WR:133-133_1,IWRH2,3.73,31.95,0.03,7.43,4.48,0.000,508.092,26.130,0.758,,,,,,,,,,,,,,,,,,501_M0111_A_002H_1_WR:133-133_1,22,3.73,fine sand,slight,shells and sands above,,"loose sand, disturbed",,,,Y,,Y,Y,"According to Log-sheet, SQ2(147-151) and IWRH2(133-133) have same ID (IW-CN)"
501,M0111,A,3,H,1,131,131,501_M0111_A_003H_1_WR:131-131_1,IWRH3,5.77,32.16,,7.48,5.42,,508.692,26.090,0.756,,,,,,,,,,,,,,,,,,501_M0111_A_003H_1_WR:131-131_1,22,5.77,fine sand ,slight,"coherent above and below, standing water in section above",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,A,4,H,1,127,127,501_M0111_A_004H_1_WR:127-127_1,IWRH1,8.16,32.06,0.03,6.87,3.16,0.000,507.841,26.148,0.762,0.111,387.697,0.182,9.598,9.722,9.652,21.182,48.704,0.582,0.302,417.573,0.954,4.585,26.067,90.317,79.731,,501_M0111_A_004H_1_WR:127-127_1,22,8.16,fine sands,slight,"crack above, reworked/ disturbed in the zone of the Rhizone, shell fragment below",,"sand, disturbed",,,,Y,,Y,Y,"According to Log-sheet, SQ1(148-151) and IWRH1(127-127) have same ID (IW-GWQ1)"
501,M0111,A,5,H,1,126,126,501_M0111_A_005H_1_W:126-126_1,IWRH2,10.86,32.00,0.03,7.28,2.50,0.000,508.021,26.166,0.758,,,,,,,,,,,,,,,,,,501_M0111_A_005H_1_W:126-126_1,22,10.86,medium sands,slight,"medium to coarse sand, shells and granules, thin waterfilm between material and liner",,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,A,13,R,1,85,85,501_M0111_A_013H_1_WR:85-85_1,IWRH1,34.65,32.35,,6.78,2.47,0.000,512.293,26.167,0.763,0.371,435.985,0.269,9.618,4.297,9.675,17.723,47.594,3.240,0.135,415.094,0.136,7.233,25.530,94.268,78.761,,501_M0111_A_013H_1_WR:85-85_1,22,34.65,fine sands,slight,"coherent above and below, water on surface",,sand,,,,,,,,"According to Log-sheet, IWSQ1(119-125), SQ1(105-110), and IWRH1(85-85) have same ID (IW-GWQ1)"
501,M0111,A,14,H,1,125,125,501_M0111_A_014H_1_WR:125-125_1,IWRH2,34.6,31.61,,7.18,2.73,0.000,,,,,,,,,,,,,,,,,,,,,501_M0111_A_014H_1_WR:125-125_1,4,34.6,fine sand,slight,"coherent directly above and below, but 15 cm above big section with large shells",,"loose sand, disturbed",,,,Y,,Y,Y,"According to Log-sheet, SQ2(145-150) and IWRH2(125-125) have same ID (IW-CN)"
501,M0111,A,15,H,1,130,130,501_M0111_A_015H_1_WR:130-130_1,IWRH3,39.42,31.71,,7.14,2.54,,,,,,,,,,,,,,,,,,,,,,501_M0111_A_015H_1_WR:130-130_1,7,39.42,coarse sand  ,slight,"lot of water, sunken sand",,"loose sand, highly disturbed",,,,Y,,Y,Y,
501,M0111,A,18,H,1,37,37,501_M0111_A_018H_1_WR:37-37_1,IWRH3,43.69,32.19,,6.99,3.64,,,,,,,,,,,,,,,,,,,,,,501_M0111_A_018H_1_WR:37-37_1,15,43.69,coarse sand ,none,coherent above and below,,"loose sand, disturbed",,,,Y,,Y,Y,
501,M0111,A,20,H,1,120,120,501_M0111_A_020H_1_WR:120-120_1,IWRH1,47.4,32.08,,7.06,3.28,,508.704,25.885,0.758,0.111,298.612,0.328,10.382,3.993,8.164,15.274,48.457,11.412,0.021,415.094,0.273,7.717,25.605,216.305,79.582,,501_M0111_A_020H_1_WR:120-120_1,13,47.4,coarse sand,none,"coherent above and below, sunken in",,"loose sand, disturbed",,,,Y,,Y,Y,
